Chain,Slug,Category,Areas served,Homepage,Weekly ad / circular URL,Status,Notes
Food Rite,food_rite,local,West Tennessee,https://www.myfoodrite.com/,https://www.myfoodrite.com/ads/,resolved,West TN (AWG/Webstop).
Food Town,food_town,local,"Houston, Texas",https://www.yourfoodtown.com/,https://www.yourfoodtown.com/weekly-ad/,resolved,Houston TX.
Foodfair,foodfair,local,"Huntington, WV, surrounding area",https://www.foodfairsupermarket.com/,https://www.foodfairsupermarket.com/weekly-ads,resolved,Huntington WV area.
Foodland,foodland,local,Hawaii,https://www.foodland.com/,https://www.foodland.com/weekly-ads,needs review,"Hawaii (Foodland Super Market). Homepage solid; verify exact ad path. NOTE: separate 'FoodLand Supermarkets' (Southern US, row 52) is a different chain - still pending."
FoodLand Supermarkets,foodland_supermarkets,local,"Alabama, Georgia, South Carolina, North Carolina, Tennessee, Kentucky, West Virginia, Pennsylvania, Ohio",https://www.foodlandgrocery.com/,https://www.foodlandgrocery.com/weekly-ads/,resolved,Southern US (Mitchell Grocery). Distinct from Foodland Hawaii (foodland.com).
Foodtown,foodtown,local,"New Jersey, New York, Pennsylvania",https://www.foodtown.com/,https://shop.foodtown.com/store/foodtown-food-circus/flyers/weekly,resolved,NJ/NY/PA co-op (Mercatus).
Fred Meyer,fred_meyer,national,"Alaska, Idaho, Oregon, Washington",https://www.fredmeyer.com/,https://www.fredmeyer.com/weeklyad,banner pattern,Kroger banner (/weeklyad).
Fresh Encounters,fresh_encounters,local,Ohio,https://www.freshencounter.com/,,needs review,"Corporate parent (Fresh Encounter Inc / SpartanNash), not a consumer banner. Consumer stores: Community Markets, Chief, Needler's, Sack N Save, Remke. No single consumer circular."
Fresh International Market,fresh_international_market,international,"Michigan, Indiana, Illinois, Missouri, North Carolina",https://freshimarket.com/,https://freshimarket.com/promotions/,resolved,Asian (MI/IN/IL/MO/NC). Weekly promotions Fridays.
Fresh Thyme Market,fresh_thyme_market,natural,,https://www.freshthyme.com/,https://www.freshthyme.com/weekly-ad,needs review,Verify exact ad path.
Fry's,fry_s,national,Arizona,https://www.frysfood.com/,https://www.frysfood.com/weeklyad,banner pattern,Kroger banner (frysfood.com /weeklyad).
Galleria Market,galleria_market,international,Southern California,https://galleriamarket.com/,https://galleriamarket.com/blog/?cat=3,resolved,Koreatown LA. Weekly sale shared with sister 'HK Market'.
Gelson's Markets,gelson_s_markets,local,Southern California,https://www.gelsons.com/,https://ad.gelsons.com/,resolved,SoCal premium.
Gerbes,gerbes,national,Missouri,https://www.gerbes.com/,https://www.gerbes.com/weeklyad,banner pattern,Kroger banner (/weeklyad).
Giant Food,giant_food,local,"Delaware, Maryland, Virginia, D.C.",https://giantfood.com/,https://giantfood.com/savings/weekly-ad,resolved,Confirmed (Landover MD Giant; giantfood.com).
Gleiberman's Gourmet,gleiberman_s_gourmet,international,"Charlotte, North Carolina",https://www.gleibermansgourmet.com/,,needs review,Kosher gourmet market (Charlotte NC). Verify site; specials likely via site/Facebook.
Global Food International,global_food_international,international,"Maryland, Virginia",,,needs review,'Global Food' international supermarket (MD/VA). Ambiguous/no confirmed canonical site - verify; may be Facebook only.
Good Fortune Supermarket,good_fortune_supermarket,international,"New York, New Jersey, Virginia, Texas, Rhode Island, California",https://goodfortunesupermarket.com/,https://goodfortunesupermarket.com/,resolved,Asian (NY/NJ/VA/TX/RI/CA/MA). Weekly ad posted on site + Facebook (fb.com/hkgf001).
Gourmet Glatt,gourmet_glatt,international,"Brooklyn, Cedarhurst, Monsey, Lakewood, Woodmere",https://gourmetglatt.com/,https://gourmetglatt.com/,resolved,"Kosher (Cedarhurst/Woodmere NY, Lakewood/Brooklyn). Weekly specials on site."
Grand & Essex,grand_and_essex,international,New Jersey,https://www.grandandessex.com/,https://www.grandandessex.com/,needs review,Grand & Essex Market (Bergenfield NJ kosher). Verify site/ad.
Grand Mart,grand_mart,international,"Washington, D.C., Virginia, North Carolina, Georgia",https://newgrandmartusa.com/,https://newgrandmartusa.com/,needs review,DC-metro chain rebranded as New Grand Mart (DC/MD/VA). Hampton Roads VA stores at grandmartva.com. Weekly deals on site. Original 'Grand Mart International' footprint fragmented.
Great Wall Supermarket,great_wall_supermarket,international,"Georgia, Massachusetts, New Jersey, New York, Virginia",https://gw-supermarket.com/,https://gw-supermarket.com/,resolved,GW Supermarket (E-coast Asian). Weekly ad on site. MA stores operate as C-Mart.
Greenland Market,greenland_market,international,,https://www.greenlandmarket.com/,https://www.greenlandmarket.com/,needs review,"Korean-American chain, Southern California. Verify domain/ad path."
Gristedes,gristedes,local,New York City,https://www.gristedes.com/,https://www.gristedes.com/,resolved,NYC (Red Apple Group). Weekly ad on site (updates Fridays).
H K Market,h_k_market,international,,https://hkmarket.com/,https://galleriamarket.com/blog/?cat=3,needs review,SoCal Korean; sister of Galleria Market (shared 'Galleria/HK Market' weekly sale). Verify homepage domain.
H-E-B,h_e_b,local,"Texas, Northern Mexico",https://www.heb.com/,https://www.heb.com/weekly-ads/weekly-deals,resolved,TX. (Also relevant to the garbled 'County Market - H.E.B' entry.)
Haggen,haggen,national,Washington,https://www.haggen.com/,https://www.haggen.com/weeklyad,banner pattern,Albertsons banner (/weeklyad).
Hannam,hannam,international,"New Jersey, California",https://www.hannamchainusa.com/,https://www.hannamchainusa.com/,resolved,Hannam Chain (Korean; SoCal + NJ). Weekly ads page on site.
Harris Teeter,harris_teeter,national,"Delaware, Florida, Georgia, Maryland, North Carolina, South Carolina, Virginia, District of Columbia",https://www.harristeeter.com/,https://www.harristeeter.com/weeklyad/weeklyad,resolved,Kroger banner; confirmed /weeklyad/weeklyad.
Highland Park Markets,highland_park_markets,local,Connecticut,https://www.highlandparkmarket.com/,https://www.highlandparkmarket.com/,needs review,CT (Manchester/Farmington/Glastonbury/Suffield). Verify site/ad path.
Hitchcock's  Markets,hitchcock_s_markets,local,Florida,https://www.myhitchcocks.com/,https://www.myhitchcocks.com/weekly-ad/,resolved,North-central FL (Alachua). Note: Chain name in source has a double space.
Hoa Binh Supermarket,hoa_binh_supermarket,international,,,,needs review,Vietnamese (Rosemead/Garden Grove CA; also TX). No reliable e-commerce site found - weekly deals via Facebook; TX stores mirror Hong Kong Market group.
Homeland,homeland,local,"Kansas, Oklahoma, Georgia, Texas",https://homelandstores.com/,https://homelandstores.com/flyers,resolved,"Homeland / HAC Inc (OK, KS, TX, GA)."
Hong Kong Food Market,hong_kong_food_market,international,Louisiana,https://www.shophongkongmarket.com/,https://www.shophongkongmarket.com/weekly-ad/,resolved,Hong Kong Food Market (TX/LA Asian).
Hong Kong Supermarket,hong_kong_supermarket,international,,,,needs review,Generic name used by several unrelated Asian markets (NYC/Atlanta/Austin/etc.). No single canonical site; TX/LA locations = shophongkongmarket.com.
Houchens Markets,houchens_markets,local,"Kentucky, Tennessee, Ohio, Indiana, Illinois",https://www.houchens.com/,,needs review,Houchens Industries is a large parent co; supermarkets run as IGA/Food Giant/etc. No single consumer circular - identify the specific local banner.
Hugo's,hugo_s,local,"Minnesota, North Dakota",https://www.gohugos.com/,https://shop.gohugos.com/weekly-ad,resolved,Hugo's Family Marketplace (MN/ND).
Ideal,ideal,international,Louisiana,,,needs review,Ideal Market / Supermercado Ideal (New Orleans LA Latin/international). No confirmed circular site - likely Facebook only.
India Bazaar/IndiaCo,india_bazaar_indiaco,international,"Texas, Illinois, Georgia",https://www.indiaco.com/,,needs review,Indian grocery (TX/IL/GA). Verify domain; Indian grocers often run promotions rather than a weekly circular.
Island Pacific Supermarket,island_pacific_supermarket,international,"California, Nevada",https://www.islandpacificmarket.com/,https://shop.islandpacificmarket.com/weekly-ad,resolved,Filipino (CA/NV).
J-mart,j_mart,international,New York,https://www.jmartsupermarket.com/,https://www.jmartsupermarket.com/,needs review,NYC Asian (Flushing/Bensonhurst/New Hyde Park). Verify site/ad; flyers also on chaoshiweekly.com.
JayC,jayc,national,Indiana,https://www.jaycfoods.com/,https://www.jaycfoods.com/weeklyad,banner pattern,"Kroger banner (Jay C Food Stores, /weeklyad)."
Jewel Osco,jewel_osco,national,"Illinois, Indiana",https://www.jewelosco.com/,https://www.jewelosco.com/weeklyad,banner pattern,Albertsons banner (/weeklyad).
Jewel-Osco,jewel_osco_2,local,"Chicago, Illinois",https://www.jewelosco.com/,https://www.jewelosco.com/weeklyad,banner pattern,Albertsons banner (/weeklyad).
Jon's Marketplace,jon_s_marketplace,local,Southern California,https://www.jonsmarketplace.com/,https://www.jonsmarketplace.com/weekly-ad,resolved,Greater LA int'l (JONS Fresh Marketplace).
Kam Man Food,kam_man_food,international,"New York, New Jersey, Massachusetts",https://www.kammanmarket.com/,https://www.kammanmarket.com/,needs review,NY/NJ/MA Asian. Homepage solid; verify weekly-specials page path.
Karns Quality Foods,karns_quality_foods,local,"Harrisburg, Pennsylvania area",https://www.karnsfoods.com/,https://www.karnsfoods.com/weekly-ad/,resolved,Central PA (Harrisburg).
Key Food,key_food,local,New York City metro area,https://www.keyfood.com/,https://www.keyfood.com/circular,needs review,NYC-metro co-op; circulars are per-store (e.g. keyfoodgardencity.com/weekly-circular). Verify main circular path.
King Soopers,king_soopers,national,"Colorado, Wyoming",https://www.kingsoopers.com/,https://www.kingsoopers.com/weeklyad,banner pattern,Kroger banner (/weeklyad).
Kosher Konnection,kosher_konnection,international,New Jersey,,,needs review,Passaic NJ kosher (Main St). No clear e-commerce site found - likely no online circular / Facebook only.
Kroger,kroger,national,"Alabama, Arkansas, Georgia, Illinois, Indiana, Kentucky, Michigan, Mississippi, Missouri, Ohio, South Carolina, Tennessee, Texas, Virginia, West Virginia",https://www.kroger.com/,https://www.kroger.com/weeklyad/weeklyad,resolved,Confirmed /weeklyad/weeklyad.
Kuhn's Quality Foods,kuhn_s_quality_foods,local,"Pittsburgh, Pennsylvania",https://www.kuhnsmarket.com/,https://www.kuhnsmarket.com/weekly-ad,resolved,Pittsburgh PA.
La Bonita,la_bonita,international,Southern Nevada,https://labonitasupermarkets.com/,https://labonitasupermarkets.com/specials/La_Bonita_Weekly_Deals.pdf,resolved,Las Vegas NV Hispanic. Direct-PDF weekly ad.
La Michoacana Meat Market,la_michoacana_meat_market,international,Texas,https://www.lamichoacanameatmarket.com/,https://www.lamichoacanameatmarket.com/en/on-sale/,resolved,"TX Hispanic (Houston HQ, ~140 stores)."
La Placita,la_placita,international,,,,needs review,Hispanic market (generic name; multiple unrelated stores). No canonical site - likely single-store / Facebook only.
Livoti’s Old World Market,livotis_old_world_market,international,,https://www.livotisoldworldmarket.com/,https://www.livotisoldworldmarket.com/weekly-sales/,resolved,NJ Italian gourmet (Monmouth/Ocean County). Circular Thursdays.
Lotte Plaza,lotte_plaza,international,"Maryland, Virginia",https://www.lotteplaza.com/,https://www.lotteplaza.com/weekly-sale/,resolved,Korean/Asian (MD/VA/FL). NJ stores: /nj-weekly-sale/.
Magruder's,magruder_s,local,"Washington, D.C. area",https://www.magruders.com/,https://www.magruders.com/,resolved,DC family-owned supermarket (since 1875). Weekly ad on site (Wednesdays). Note magrudersofdc.com is the gourmet/wine e-commerce arm.
Marc's,marc_s,local,"Cleveland, Ohio",https://www.marcs.com/,https://www.marcs.com/weeklyad,resolved,Cleveland OH discount grocery.
Mardens,mardens,local,Maine,https://www.mardens.com/,,no ad,"Marden's Surplus & Salvage (Maine, 14 stores). Per their FAQ they do NOT publish a weekly flyer - ever-changing surplus inventory."
Mariano's,mariano_s,national,Illinois,https://www.marianos.com/,https://www.marianos.com/weeklyad,banner pattern,Kroger/Roundy's banner (/weeklyad).
Market Basket,market_basket,local,"Southeastern Texas, Southwestern Louisiana",https://www.marketbasket.com/,https://www.marketbasket.com/weekly-ad,resolved,Market Basket (SE TX / SW LA) - different chain from New England.
Market Basket,market_basket_2,local,New England,https://www.shopmarketbasket.com/,https://www.shopmarketbasket.com/flyer,resolved,Demoulas Market Basket (New England). Verify flyer path.
Market of Choice,market_of_choice,local,Oregon,https://marketofchoice.com/,https://marketofchoice.com/specials/weekly/,resolved,OR independent.
Market Street,market_street,national,"Texas, New Mexico",https://www.marketstreetunited.com/,https://www.marketstreetunited.com/weekly-ad,needs review,Albertsons/United Family; domain marketstreetunited.com. Verify ad path.
Met Foodmarkets,met_foodmarkets,local,"New York City, New Jersey, Massachusetts",https://www.metfoodmarkets.com/,https://www.metfoodmarkets.com/,needs review,NY/NJ/MA co-op (Met Foods). Verify site/circular path.
Metro Supermarket,metro_supermarket,international,,,,needs review,Asian 'Metro Supermarket' - ambiguous (multiple unrelated stores; not Kroger's Metro Market). No canonical site confirmed.
Mi Tienda,mi_tienda,international,"two stores in Houston, Texas",https://www.heb.com/,https://www.heb.com/,needs review,Mi Tienda is an H-E-B Hispanic banner (Houston). Ad likely via heb.com; verify dedicated page.
Mitsuwa,mitsuwa,international,"New Jersey, Illinois, California, Hawaii, Texas",https://www.mitsuwa.com/,https://www.mitsuwa.com/,needs review,Japanese (CA/IL/NJ/TX/HI). Both rows = same chain. Verify weekly-ad path (per-store).
Mitsuwa Marketplace,mitsuwa_marketplace,international,,https://www.mitsuwa.com/,https://www.mitsuwa.com/,needs review,Japanese (CA/IL/NJ/TX/HI). Both rows = same chain. Verify weekly-ad path (per-store).
Moser's Foods,moser_s_foods,local,Missouri,https://www.mosersfoods.com/,https://www.mosersfoods.com/weekly-ads,resolved,Central Missouri (family-owned).
Mother's Market & Kitchen,mother_s_market_and_kitchen,local,California,https://www.mothersmarket.com/,https://www.mothersmarket.com/weekly-specials,needs review,SoCal natural. Verify ad path.
Motty's,motty_s,international,"Spring Valley, New York",,,needs review,Kosher supermarket (Spring Valley NY). Small independent - likely no online circular / Facebook only.
Mr. Special,mr_special,local,Puerto Rico,https://www.supermercadosmrspecial.com/,https://www.supermercadosmrspecial.com/,resolved,Puerto Rico. Weekly 'shopper' on site (also mirrored at shopperspr.net).
Nam Dae Mun Farmers Market,nam_dae_mun_farmers_market_2,international,Georgia,https://ndmmarket.com/,https://ndmmarket.com/weeklyads/,resolved,"NDM Market, Greater Atlanta int'l. (Both NDM rows = same chain.)"
Nam Dae Mun Farmers Market,nam_dae_mun_farmers_market,international,Georgia,https://ndmmarket.com/,https://ndmmarket.com/weeklyads/,resolved,"NDM Market, Greater Atlanta int'l. (Both NDM rows = same chain.)"
Natural Grocers,natural_grocers,natural,,https://www.naturalgrocers.com/,https://www.naturalgrocers.com/sale-flyer,needs review,Runs a monthly 'Hot Deals'/sale flyer rather than weekly. Verify path.
New Day,new_day,international,"Spring Valley, New York",,,needs review,Kosher supermarket (Spring Valley NY). Small independent - likely no online circular / Facebook only.
New India Bazar,new_india_bazar,international,California,https://www.newindiabazar.com/,,needs review,Indian grocery (CA/Bay Area). Verify domain; may not publish a weekly circular.
Nijiya Market,nijiya_market,international,"California, Hawaii",https://www.nijiya.com/,https://www.nijiya.com/sale,resolved,Japanese (CA/HI).
Northgate González Market,northgate_gonzalez_market,international,California,https://www.northgatemarket.com/,https://www.northgatemarket.com/weekly-ad,needs review,Northgate Gonzalez Market (CA). Both rows = same chain. Verify ad path.
Northgate Market,northgate_market,international,,https://www.northgatemarket.com/,https://www.northgatemarket.com/weekly-ad,needs review,Northgate Gonzalez Market (CA). Both rows = same chain. Verify ad path.
O-Mart,o_mart,international,"Killeen, Texas",https://www.omartusa.com/,https://www.omartusa.com/,resolved,"Korean/Asian market, Killeen TX. Weekly specials on site."
Ocean Mart,ocean_mart,international,Utah,https://www.oceanmart.net/,https://www.oceanmart.net/,resolved,Utah's Asian supermarket chain (SLC/Sandy). Weekly deals via site + Facebook.
Pac n Save,pac_n_save,local,Rural Nebraska,,,needs review,Pac 'N Save (rural Nebraska) - affiliated with B&R Stores (Russ's Market/Super Saver family). Verify dedicated site/ad.
Pacific Ocean Marketplace,pacific_ocean_marketplace,international,Colorado,https://www.pacificoceanmarket.com/,https://www.pacificoceanmarket.com/,resolved,Denver CO Asian. Weekly flyers on site.
Pantry Pride,pantry_pride,local,"St Marys, Ohio",https://pantrypridemkt.com/,https://pantrypridemkt.com/,resolved,Pantry Pride Market (St Marys OH). 'View Weekly Ad' on site.
Presidente,presidente,international,"South Florida – Miami-Dade, Broward & Palm Beach counties",https://presidentesupermarkets.com/,https://presidentesupermarkets.com/weekly-promotions/,resolved,South FL Hispanic (Cuban-owned).
Price Chopper,price_chopper,local,Kansas City & Des Moines metro areas,https://www.mypricechopper.com/,https://www.mypricechopper.com/savings/weekly-ad,resolved,KC/Des Moines (Ball's/McKeever's). NOTE: distinct from NY 'Price Chopper' by Golub (pricechopper.com).
Pro's Ranch Market / Los Altos Ranch Market,pro_s_ranch_market_los_altos_ranch_market,international,"Arizona, California, New Mexico, Texas",https://www.losaltosranchmarket.com/,https://www.losaltosranchmarket.com/weekly-ad,needs review,AZ/CA/NM/TX (now Cardenas Markets group). Verify domain/ad path.
Publix Green Wise,publix_green_wise,natural,,https://www.publix.com/,https://www.publix.com/savings/weekly-ad,banner pattern,GreenWise Market = Publix format; uses Publix weekly ad (publix.com/savings/weekly-ad).
Publix Sabor,publix_sabor,international,,https://www.publix.com/,https://www.publix.com/savings/weekly-ad,banner pattern,Publix Sabor = Publix format; uses Publix weekly ad.
Pueblo,pueblo,local,Puerto Rico,https://www.puebloweb.com/,https://www.puebloweb.com/shopper,resolved,Supermercados Pueblo (Puerto Rico).
QFC,qfc,national,"Oregon, Washington",https://www.qfc.com/,https://www.qfc.com/weeklyad,banner pattern,Kroger banner (/weeklyad).
Quality Dairy Company,quality_dairy_company,local,Mid-Michigan,https://www.qualitydairy.com/,https://www.qualitydairy.com/,needs review,Mid-Michigan (Lansing) convenience chain. Verify site; may run coupons/specials rather than a grocery circular.
Ralphs,ralphs,national,Southern California,https://www.ralphs.com/,https://www.ralphs.com/weeklyad,banner pattern,Kroger banner (/weeklyad).
Rancho Liborio,rancho_liborio,international,"California, Nevada, Colorado",https://www.liboriomarkets.com/,https://www.liboriomarkets.com/,needs review,Liborio Markets (CA/NV/CO Hispanic). Verify domain/ad path.
Randalls and Tom Thumb,randalls_and_tom_thumb,national,Texas,https://www.randalls.com/ ; https://www.tomthumb.com/,https://www.randalls.com/weeklyad ; https://www.tomthumb.com/weeklyad,banner pattern,Two Albertsons banners; both /weeklyad.
Rani's World Foods,rani_s_world_foods,international,Texas & Nevada,https://www.ranisworldfoods.com/,https://www.ranisworldfoods.com/,needs review,Indian/South Asian (TX/NV). May not publish a traditional weekly circular - verify.
Redner's Markets,redner_s_markets,local,"Eastern Pennsylvania, also in Delaware, Maryland",https://www.rednersmarkets.com/,https://www.rednersmarkets.com/redners-weekly-ad-offers.html,resolved,Eastern PA/DE/MD.
Remke Markets,remke_markets,local,"Cincinnati, Ohio area",https://www.remkes.com/,https://www2.remkes.com/WeeklyAd/,resolved,Cincinnati/NKY (Fresh Encounter/SpartanNash).
Ridley's Family Markets,ridley_s_family_markets,local,"Idaho, Nevada, Utah, Wyoming",https://www.ridleymarkets.com/,https://www.ridleymarkets.com/weekly-ad,needs review,ID/NV/UT/WY. Verify domain/ad path.
Riesbeck's,riesbeck_s,local,"West Virginia, Ohio",https://www.riesbeckfoods.com/,https://www.riesbeckfoods.com/weekly-ad,needs review,WV/OH. Verify domain/ad path.
Rio Ranch Markets,rio_ranch_markets,international,,https://www.rioranchmarket.com/,https://www.rioranchmarket.com/,needs review,SoCal Hispanic. Per-location weekly ad. Verify domain (distinct from Rio Valley Market).
Roche Bros,roche_bros,local,Massachusetts,https://www.rochebros.com/,https://www.rochebros.com/weekly-ad/,resolved,MA (Roche Bros/Sudbury Farms).
Rockland Kosher,rockland_kosher,international,"Monsey, New York",https://www.rocklandkosher.com/,https://marketmavenmd.com/,needs review,"Rockland Kosher Supermarket (Monsey NY, 27 Orchard St). Verify site; circular often via WatsOnSale/MarketMaven."
Rosauers Supermarkets,rosauers_supermarkets,local,"Idaho, Montana, Oregon, Washington",https://www.rosauers.com/,https://www.rosauers.com/weekly-ad,resolved,"ID/MT/OR/WA (also Super 1 Foods, Huckleberry's)."
